Без сахара на фруктозе 1/40 шт. 120 гр. (печенье)	16,93
Сладко темный шок.-ваниль 1/50гр/10бл*20шт (батончик)	17,10
Вафли Клубничные 1/90гр 36шт	17,17
Вафли Лимонные 1/90гр 36шт	17,17
Вафли Трюфель 1/90гр 36шт	17,17
Stops хрустящий 1/24шт. 50 гр. (драже)	17,39
Улыбка лета 1/90гр 18шт .( вафли )	17,42
Kinder шоколад Макси 1/36шт.*8бл. 21гр.	17,47
Kinder шоколад Макси 1/36шт.*8бл. 21гр.	17,47
Kinder шоколад Макси 1/36шт.*8бл. 21гр.	17,47
Kinder шоколад Макси 1/36шт.*8бл. 21гр.	17,47
Kinder шоколад Макси 1/36шт.*8бл. 21гр.	17,47
Бисквитное пирожное Аленка ш/б 1/40гр 3 * 24шт 2,88гр	17,49
Бисквитное пирожное Аленка вкус шоколадный крем ш/б 1/40гр 3 * 24шт 2,88гр	17,49
Детский сувенир мармеладные гонки 1/70гр 24 шт (мармелад)	17,52
Детский сувенир мармеладные медвежата 1/70гр 24шт (мармелад)	17,52
Детский сувенир мармеладные цифробуквы 1/70гр 24шт (мармелад)	17,52
Детский сувенир мармеладные червячки 1/70гр 24шт (мармелад)	17,52
Детский сувенир мармеладный океан 1/70гр 24шт (мармелад)	17,52
Мурмеладки лимонадные кислые 1/70гр 24 шт (мармелад)	17,52
Добрый совет молочные на фруктозе 1/48 шт 73 гр. (вафли)	17,56
Добрый совет ореховые на фруктозе 1/48 шт. 73 гр. (вафли)	17,56
Добрый совет шок. орех вк. 1/48 шт. 73 гр. (вафли)	17,56
Мармелад жев. Гонки 1* 36 шт *70 гр.	17,59
Мармелад жев. Весёлые мишки 1* 36 шт *70 гр.	17,59
Мармелад жев. Динозавры 1* 36 шт *70 гр.	17,59
Мармелад жев. Сердечки 1* 36 шт *70 гр.	17,59
Мармелад жев. Тропические змейки 1* 36 шт *70 гр.	17,59
Холс Colors Ассорти 1/30бл/12шт. 33гр.	17,73
Холс Арбуз 1/30бл./12 шт. 33гр.	17,73
